Species,year,LDMC,SLA (mm² mg^-1)
Lepidium perfoliatum,2016,163.1034483,25.56124736
Leymus angustus,2017,304.6251217,8.448729423
Leymus angustus,2017,410.8632396,5.313171624
Leymus angustus,2017,340.9319899,7.26046546
Leymus ramosus,2017,405,10.89716049
Leymus ramosus,2016,413.5658915,12.95983505
Leymus ramosus,2016,347.1578947,14.18213463
Leymus ramosus,2016,407.6397516,11.58841688
Leymus ramosus,2016,398.6627907,15.14178941
Limonium gmelinii,2016,249.0380762,8.595302969
Limonium gmelinii,2017,280.2874743,8.505208791
Limonium gmelinii,2017,275.2186589,11.08665519
Limonium sareptanum,2016,264.2989418,10.95143136
Limonium suffruticosum,2017,290.4761905,7.266393443
Limonium suffruticosum,2017,297.826087,7.82379562
Limonium suffruticosum,2016,310.1709402,6.587814825
Linaria incopleta,2017,286.440678,11.06352071
Medicago falcata,2017,328.7878788,14.53211982
Medicago falcata,2017,303,19.85019802
Medicago falcata,2016,352.5,12.96606525
Melilotus officinalis,2017,220.441989,21.32045113
Nepeta ucrainica,2016,263.2432432,15.30427105
Nonea pulla,2017,245.4166667,10.52543294
Nonea pulla,2017,167.2131148,13.65564879
Nonea pulla,2016,220.8389262,19.32075824
Nonea pulla,2016,224.4,13.50242709
Onobrychis viciifolia,2017,270.412234,12.02697566
Onosma simplicissima,2016,360.7017544,9.008514105
Onosma tinctoria,2017,283.4894614,9.168302354
Onosma tinctoria,2017,263.1268437,9.857045964
Onosma tinctoria,2016,283.1333333,14.09169296
Oxytropis pilosa,2017,339.5380435,13.55757103
Oxytropis pilosa,2016,307.5,17.25016902
Palimbia salsa,2017,214.5945946,11.21011965
Palimbia salsa,2017,230.5921053,12.80240371
Palimbia salsa,2016,183.7142857,13.97903577
Palimbia salsa,2016,229,12.47689956
Palimbia salsa,2016,193.2786885,15.45474131
Pedicularis dasystachys,2017,275.0972763,13.34706506
Pedicularis dasystachys,2017,285.4051565,8.520432328
Pedicularis physocalyx,2017,289.4117647,12.08974932
Petrosimonia litwinowii,2016,160.2586207,4.840172136
Phlomoides agraria,2016,276.3255814,17.0279086
Phlomoides agraria,2016,293.7200737,13.37209794
Phlomoides tuberosa,2017,315.1943463,14.49438901
Phlomoides tuberosa,2017,356.0679612,11.26646898
Phlomoides tuberosa,2017,312.3115578,12.27242961
Phlomoides tuberosa,2017,304.8648649,15.49893617
Phlomoides tuberosa,2016,319.5121951,13.21716031
Plantago maxima,2017,247.8728271,9.149066162
Plantago maxima,2016,256.1816578,10.45007057
Plantago media,2017,218.4723305,12.40307884
Poa angustifolius,2017,414.5833333,9.177763819
Poa bulbosa,2016,212.5,19.15313725
Poa versicolor,2017,421.7391304,11.37768041
Poa versicolor,2016,398.75,13.37332288
Polygonum aviculare,2017,261.3636364,17.97017391
Polygonum patulum,2016,280,17.07448571
Potentilla arenaria,2016,463.3451957,11.95101459
Potentilla argentea,2017,437.9844961,11.70867257
Potentilla argentea,2017,346.0869565,17.27590452
Potentilla argentea,2016,369.0322581,15.39266317
Potentilla bifurca,2017,403.4246575,12.16096774
Potentilla bifurca,2017,437.5,12.08131868
Potentilla bifurca,2017,396.484375,10.38861576
Potentilla bifurca,2017,417.4796748,10.68808179
Potentilla bifurca,2016,411.0900474,10.44314388
Potentilla humifusa,2017,430.1843318,10.92018211
Potentilla humifusa,2017,464.3695015,7.312683928
Potentilla humifusa,2017,457.4534161,8.366921249
Potentilla humifusa,2016,420.6703911,12.98053652
Psathyrostachys juncea,2017,335.6349206,12.95954126
Psathyrostachys juncea,2016,371.4074074,10.09108097
Psathyrostachys juncea,2016,394.787234,10.45579898
Pseudosophora alopecuroides,2016,349.9688474,13.50924426
Puccinellia tenuissima,2017,436,10.87770642
Pulsatilla patens,2016,376.5648855,11.25363268
Rheum tataricum,2017,155.9200576,8.876321393
Rheum tataricum,2017,157.5860124,10.55904581
Rorippa brachycarpa,2017,169.4029851,25.62317181
Rosa,2017,411.1878453,14.43721532
Salsola kali,2016,265.3012048,7.569943233
Salvia stepposa,2017,293.3962264,22.34853162
Salvia stepposa,2017,243.3070866,19.94024272
Salvia stepposa,2017,280.7432432,17.77847172
Salvia stepposa,2016,221.2219451,22.22519558
Scorzonera austriaca,2017,247.9872881,12.7193507
Scorzonera austriaca,2017,189.2089094,12.33604831
Scorzonera inconspicua,2016,220.8857143,11.11306429
Scorzonera parviflora,2017,212.8919861,17.14528642
Scorzonera stricta,2017,203.3783784,17.97421927
Scorzonera stricta,2016,215.6746032,13.2215345
Scutellaria grandiflora,2017,314.2857143,11.02695455
Senecio dubitabilis,2016,115.8730159,27.14093151
Serratula cardunculus,2016,209.5424837,21.8027277
Serratula dissecta,2017,226,11.47535398
Serratula dissecta,2016,244.7126437,10.86596524
Serratula kirghisorum,2017,222.1649485,15.59353248
Serratula kirghisorum,2017,234.4298246,15.58880262
Serratula kirghisorum,2017,265.3495441,16.43065292
Seseli ledebourii ,2017,353.3557047,9.929734093
Seseli libanotis,2017,250.4460665,8.203434262
Silaum silaus,2017,282.1172249,9.856016097
Silene wolgensis,2017,299.3975904,9.856016097
Silene wolgensis,2017,298.8603989,12.3621449
Silene wolgensis,2016,289.3515358,11.43012267
Sisymbrium polymorphum,2017,425.9259259,11.68326087
Sisymbrium polymorphum,2017,283,13.31964664
Sisymbrium polymorphum,2016,285,14.56813596
Sysimbrium polimorpha,2016,207.826087,11.86401674
Spiraea crenata,2017,466.1290323,10.90024221
Spiraea crenata,2017,465.9090909,13.73102439
Spiraea hypericifolia,2016,556.2992126,11.39972824
Spiraea hypericifolia,2016,550.2777778,13.44011863
Stipa capillata,2017,553.8461538,7.48109127
Stipa capillata,2017,519.047619,5.67559633
Stipa capillata,2017,607.5,5.666502058
Stipa capillata,2016,571.7821782,6.098578355
Stipa lessingiana,2016,496.8181818,8.186143641
Stipa lessingiana,2016,551.5789474,8.199157125
Stipa lessingiana,2016,519.8387097,8.959748681
Stipa pennata,2016,574.028436,9.120089168
Stipa richteriana,2017,586.9565217,8.782481481
Stipa sareptana,2016,520,6.426346154
Stipa sareptana,2016,494.6551724,6.246451725
Stipa sareptana,2016,643.3766234,7.11995761
Stipa zalesskii,2016,597.2432432,5.195697348
Stipa zalesskii,2017,568.3333333,4.915347019
Stipa zalesskii,2017,568.1818182,5.507408
Stipa zalesskii,2017,523.6111111,5.421763926
Stipa zalesskii,2017,565.2777778,5.139422604
Syrenia silicousa,2016,272.3376623,7.06403195
Tamarix gracilis,2017,391.6666667,12.56585106
Tamarix gracilis,2017,404.1666667,11.51773196
Tamarix gracilis,2017,381.3559322,5.051422222
Tanacetum achilleifolium,2017,322.2222222,8.892701149
Tanacetum achilleifolium,2017,353.125,10.81890855
Tanacetum achilleifolium,2017,309.0909091,10.47020221
Tanacetum achilleifolium,2016,329.5555556,13.33756406
Tanacetum achilleifolium,2016,245.7,15.1985002
Tanacetum santolina,2017,278.7096774,8.919849537
Thymus marschallianus,2017,400,18.3459375
Thymus marschallianus,2017,231.25,27.61324324
Thymus marschallianus,2017,261.1111111,29.16546099
Thymus marschallianus,2017,220.6766917,12.60512777
Thymus marschallianus,2016,297.254902,21.85226253
Tragopogon capitatus ,2017,202.2727273,19.93581461
Tragopogon ruber,2017,147.7476255,16.2771237
Trinia muricata,2017,391.0179641,7.232833078
Trinia muricata,2017,363.7096774,7.645934959
Tripleurospermum perforatum,2017,211.9565217,16.14128205
Tulipa gesneriana,2016,136.6878981,14.97316403
Tulipa gesneriana,2016,153.2857143,13.10740292
Verbascum phoenicium,2016,227.3170732,12.15534335
Verbascum phoenicium,2016,213.9555556,13.66951184
Veronica incana,2016,293.0153846,14.48575554
Veronica spicata,2017,317.2131148,11.37744186
Veronica spicata,2017,333.3333333,11.05233871
Veronica spicata,2016,365.7735849,11.99387187
Veronica spicata,2016,257.8802993,9.187092157
Veronica spuria,2017,315.6462585,10.90665948
Veronica spuria,2017,304.7244094,12.11250646
