;LDMC;SLA;height;growthform;life_history;clonal_strategy;lat_spread;leaf_distr
Polygonum patulum;280;17.1;8.75;forb;ann/biennial;none;sgl_shoot;leafystem
Potentilla arenaria;463;12;6;forb;perennial;phalanx;sev_stems;(semi)rosette
Potentilla argentea;369;15.4;13.8125;forb;perennial;none;sev_stems;(semi)rosette
Potentilla bifurca;411;10.4;6.75;forb;perennial;phalanx;sev_stems;(semi)rosette
Potentilla humifusa;421;13;7.75;forb;perennial;phalanx;sev_stems;(semi)rosette
Psammophiliella muralis;;;8.75;forb;ann/biennial;none;sgl_shoot;leafystem
Psathyrostachys juncea;383;10.3;23.63;grass;perennial;phalanx;tussock;(semi)rosette
Pseudosedum lievenii;;;25.75;forb;perennial;phalanx;sev_stems;leafystem
Puccinellia dolicholepis;;;22.625;grass;perennial;phalanx;tussock;leafystem
Ranunculus pedatus;;;;forb;perennial;none;sgl_shoot;(semi)rosette
Ranunculus polyrhizus;;;10.25;forb;perennial;none;sgl_shoot;(semi)rosette
Rindera tetraspis;;;20.5;forb;perennial;phalanx;sev_stems;(semi)rosette
Rorippa brachycarpa;;;30;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Rumex sp;;;;forb;;;;
Salsola foliosa;;;7.25;forb;ann/biennial;none;sev_stems;leafystem
Salsola orientalis;;;22;dwarfshrub;perennial;none;sev_stems;leafystem
Salsola sp;;;;forb;;;;
Salsola tamariscina;;;7.4;forb;ann/biennial;none;sgl_shoot;leafystem
Scorzonera austriaca;;;18.25;forb;perennial;phalanx;sev_stems;(semi)rosette
Scorzonera ensifolia;;;;forb;perennial;phalanx;sev_stems;leafystem
Scorzonera stricta;216;13.2;18.5;forb;perennial;none;sgl_shoot;(semi)rosette
Senecio dubitabilis;116;27.1;12.25;forb;ann/biennial;none;sgl_shoot;leafystem
Senecio jacobaea;;;19.64150943;forb;perennial;phalanx;sev_stems;(semi)rosette
Serratula cardunculus;210;21.8;7.5;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Serratula dissecta;245;10.9;16.75;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Silene chlorantha;;;42.25;forb;perennial;none;sgl_shoot;(semi)rosette
Silene viscosa;;;38.75;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Silene wolgensis;289;11.4;51;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Sisymbrium polymorphum;246;13.2;8.375;forb;perennial;none;sgl_shoot;leafystem
Spergularia segetalis;;;2;forb;ann/biennial;none;sgl_shoot;leafystem
Spiraea crenata;;;64;dwarfshrub;perennial;phalanx;sev_stems;leafystem
