"SBS.name","height","SLA","mean.LMDC..mg.g."
"297","Atriplex laciniata",0.568333333333333,16.38,210.095
"298","Atriplex littoralis",0.753333333333333,15.892,129.4725
"299","Atriplex longipes",0.2625,NA,NA
"300","Atriplex micrantha",0.785,18.095,178.935
"301","Atriplex oblongifolia",0.625,16.99,199.965
"302","Atriplex patula",0.9875,17.375,164.25
"303","Atriplex praecox",0.065,NA,NA
"304","Atriplex prostrata",0.95,20.975,144.333333333333
"305","Atriplex rosea",0.395,18.695,238.735
"306","Atriplex tatarica",0.375,20.2475,223.7175
"307","Atropa bella-donna",1,28.125,186.545
"308","Aubrieta deltoidea",0.075,NA,NA
"309","Aurinia saxatilis",0.175,NA,NA
"310","Avena barbata",0.18,24.85,237.666666666667
"311","Avena fatua",0.75,21.775,242
"312","Avena sativa",0.93,20.745,188.89
"313","Avena sterilis",0.27,33.18,192.73
"314","Avena strigosa",1.54,29.14,206.95
"315","Avenula pratensis",0.65,9.99666666666667,322.666666666667
"316","Avenula pubescens",0.6,20.696,264
"317","Avenula versicolor",0.14,13.1,NA
"318","Azolla filiculoides",0.02,17.985,98.82
"319","Baldellia ranunculoides",0.125,21.8,139
"320","Ballota nigra",0.625,21.25,222
"321","Barbarea intermedia",0.3575,23.5666666666667,146.426666666667
"322","Barbarea stricta",0.60375,43.36,131.95
"323","Barbarea verna",0.333333333333333,NA,NA
"324","Barbarea vulgaris",0.525,26.65,174
"325","Bartsia alpina",0.13825,17.7049385225,195.84
"326","Bassia hirsuta",0.175,NA,NA
"327","Bassia laniflora",0.25,NA,NA
"328","Bassia scoparia",0.99,22.275,187.53
"329","Bellis perennis",0.055,27.075,113.5
"330","Berberis vulgaris",1.91666666666667,13.031578948,256.5
"331","Berteroa incana",0.325,18.03,245.445
"332","Berula erecta",0.475,33.66,96.66
"333","Beta vulgaris",1.4,21.1060550066667,167
"334","Betula humilis",1.25,10.972839505,NA
"335","Betula nana",0.685,12.9776011048182,405.485
"336","Betula pendula",27,17.85990048,273
"337","Betula pubescens",25,14.392,NA
"338","Bidens cernua",0.4775,29.0133333333333,151.966666666667
"339","Bidens connata",0.525,55.64,116.84
"340","Bidens frondosa",0.525,31.44395231,181.995
"341","Bidens radiata",0.575,32.56,132.905
"342","Bidens tripartita",0.525,32.45535023,152.39
"343","Bifora radians",0.34,43.87,126.92
"344","Biscutella laevigata",0.15,NA,NA
"345","Blackstonia perfoliata",0.221666666666667,26.5266666666667,221.525
"346","Blechnum spicant",0.325,10.9,266
"347","Blysmus compressus",0.25,13.99,294.46
"348","Blysmus rufus",0.14,10,311.45
"349","Borago officinalis",0.31,25.125,140.98
"350","Botrychium lunaria",0.175,21.2,194
"351","Botrychium matricariifolium",0.15,NA,NA
"352","Botrychium multifidum",0.175,NA,NA
"353","Botrychium simplex",0.07,NA,NA
"354","Botrychium virginianum",0.45,NA,NA
"355","Brachypodium pinnatum s. pinnatum",0.6,25.520337092,457.76
"356","Brachypodium pinnatum subsp. rupestre",0.5,NA,NA
"357","Brachypodium sylvaticum",0.825,44.35,308.1825
"358","Brassica elongata",0.4525,14.02,196.63
"359","Brassica juncea",0.65,NA,NA
"360","Brassica napus",0.9625,24.805,NA
"361","Brassica nigra",0.735,26.62,130.32
"362","Brassica oleracea",0.666666666666667,24.825,174.81
"363","Brassica rapa",0.598333333333333,25.5366666666667,140.896666666667
"364","Briza media",0.165,21.7071428571429,293.9425
"365","Bromus arvensis",0.332,19.2,276.56
"366","Bromus brachystachys",0.125,NA,NA
"367","Bromus commutatus",0.5,25.48,224.335
"368","Bromus erectus",0.5,15.7790343246154,339.555555555556
"369","Bromus grossus",0.2,32.16,291.09
"370","Bromus hordeaceus subsp. thominii",0.065,NA,NA
"371","Bromus inermis",0.475,22.415,255
"372","Bromus japonicus",0.275,27.45,288.99
"373","Bromus madritensis",0.19,40.71,165.15
"374","Bromus racemosus",0.77,28.81,177.92
"375","Bromus secalinus",0.87,19.91,290.86
"376","Bromus squarrosus",0.4325,29.06,194.58
"377","Bromus sterilis",0.375,31.8166666666667,230.75
"378","Bromus tectorum",0.2575,34.77,155.1
"379","Bryonia alba",3,31.01,168.495
"380","Bryonia cretica s. dioica",3,28.615,NA
"381","Buddleja davidii",1.83333333333333,15.3033333333333,228.94
"382","Buglossoides purpurocaerulea",0.45,37.01,160.3
"383","Bunias erucago",0.2,NA,NA
"384","Bunias orientalis",0.776666666666667,23.6648631233333,148.65
"385","Bunium bulbocastanum",0.408333333333333,17.71,150.1
"386","Buphthalmum salicifolium",0.35,27.29,179.08
"387","Bupleurum baldense",0.04,NA,NA
"388","Bupleurum falcatum",0.775,NA,NA
"389","Bupleurum gerardi",0.35,NA,NA
"390","Bupleurum longifolium",0.525,NA,NA
"391","Bupleurum ranunculoides",0.275,NA,NA
"392","Bupleurum rotundifolium",0.3,28.2366666666667,276.17
"393","Bupleurum tenuissimum",0.208333333333333,35.09,185.22
"394","Butomus umbellatus",0.8,10.1633333333333,119.053333333333
"395","Buxus sempervirens",2,7.03333333333333,396.9
"396","Cakile maritima",0.208333333333333,17.0133333333333,88.7266666666667
"397","Calamagrostis arundinacea",0.75,22.78,386.57
"398","Calamagrostis canescens",1,19.5775,361
"399","Calamagrostis epigejos",1,13.01253490225,398.756666666667
"400","Calamagrostis purpurea",1.15,23.96,309.82
"401","Calamagrostis varia",0.625,NA,NA
"402","Calamagrostis villosa",0.35,24.91,297.9
"403","Calamintha nepeta",0.125,NA,NA
"404","Caldesia parnassifolia",0.1,NA,NA
"405","Calendula arvensis",0.15,31.05,95.36
"406","Calendula officinalis",0.325,NA,NA
"407","Calepina irregularis",0.275,NA,NA
"408","Calla palustris",0.15,31.86716012,105.925
"409","Callitriche palustris",0.00875,107.125,113.955
"410","Calluna vulgaris",0.826,11.778,287
"411","Caltha palustris",0.2625,27.39358963,166
"412","Calycocorsus stipitatus",0.065,NA,NA
"413","Calystegia sepium",1.2875,37.052,184
"414","Calystegia silvatica",2,23.1,224
"415","Calystegia soldanella",0.233333333333333,16.225,124.68
"416","Camelina alyssum",0.275,NA,NA
"417","Camelina microcarpa",0.3,19.99,146.47
"418","Camelina sativa",0.3875,NA,NA
"419","Campanula alpina",0.125,NA,NA
"420","Campanula barbata",0.185,19.01140684,NA
"421","Campanula baumgartenii",0.19,NA,NA
"422","Campanula bononiensis",0.6,NA,NA
"423","Campanula cervicaria",0.325,20.13,236
"424","Campanula cochlearifolia",0.065,NA,NA
"425","Campanula glomerata",0.173333333333333,24.3817567575,221.333333333333
"426","Campanula latifolia",0.65,55.5766666666667,158.013333333333
"427","Campanula medium",0.625,NA,NA
"428","Campanula patula",0.275,32.17,NA
"429","Campanula persicifolia",0.4,29.61,174.88
"430","Campanula rapunculoides",0.375,52.5675,141.5375
"431","Campanula rapunculus",0.5,42.06,163.35
"432","Campanula rhomboidalis",0.325,NA,NA
"433","Campanula rotundifolia",0.19,24.5222222222222,258
"434","Campanula scheuchzeri",0.165,NA,NA
"435","Campanula sibirica",0.2,14.976226415,213.75
"436","Campanula thyrsoides",0.19,NA,NA
"437","Campanula trachelium",0.6,39,159
"438","Cannabis sativa",1.2,27.975,236.34
"439","Capsella bursa-pastoris",0.126666666666667,30.03292517,148.405
"440","Caragana arborescens",3.5,23.53,365.44
"441","Cardamine amara",0.241666666666667,43.95,125.666666666667
"442","Cardamine bellidifolia s. alpina",0.06,NA,NA
"443","Cardamine bulbifera",0.3975,41.54,152.235
"444","Cardamine enneaphyllos",0.25,NA,NA
"445","Cardamine flexuosa",0.216666666666667,41.25,129
"446","Cardamine heptaphylla",0.375,38.7,135.38
"447","Cardamine hirsuta",0.118333333333333,27.7833333333333,126
"448","Cardamine impatiens",0.358333333333333,33.8,311
"449","Cardamine parviflora",0.125,34.655,165.94
"450","Cardamine pentaphyllos",0.3,NA,NA
"451","Cardamine pratensis",0.25,20.8451398557143,199.5
"452","Cardamine pratensis s. dentata",0.315,NA,NA
"453","Cardamine resedifolia",0.07,NA,NA
"454","Cardamine trifolia",0.175,NA,NA
"455","Cardaminopsis arenosa",0.15,28.2133333333333,200.87
"456","Cardaminopsis halleri",0.175,38.055,189.47
"457","Cardaminopsis petraea",0.075,31.59,144.96
"458","Cardaria draba",0.275,20.5,161.666666666667
"459","Carduus acanthoides",0.65,18.47,138.8
"460","Carduus crispus",1.125,23.6,131
"461","Carduus defloratus",0.325,15.04,170.64
"462","Carduus nutans",0.6,17.05,127.666666666667
"463","Carduus personata",0.825,NA,NA
"464","Carex acuta",0.9,13.8519452733333,331.09
"465","Carex acutiformis",0.75,16,331.59
"466","Carex alba",0.1,23.94,363.45
"467","Carex appropinquata",0.35,15.85,268.725
"468","Carex aquatilis",1,12.48239274,438.66
"469","Carex arenaria",0.375,12.65,346
"470","Carex atherodes",0.9,NA,NA
"471","Carex atrata",0.09,20.43,296.37
"472","Carex atrofusca",0.125,21.65,306.49
"473","Carex bigelowii",0.105,25.306081637,376.9
"474","Carex bohemica",0.19,NA,NA
"475","Carex brachystachys",0.2,NA,NA
"476","Carex brizoides",0.5,26.35,401.15
"477","Carex brunnescens",0.275,NA,NA
"478","Carex capillaris",0.1,13.23,404.62
"479","Carex capitata",0.16,13.31705545,NA
"480","Carex caryophyllea",0.09,20.675,310
"481","Carex chordorrhiza",0.1,21.84,348.11
"482","Carex curta",0.325,25.595,276.39
"483","Carex davalliana",0.125,11.02,268.68
"484","Carex demissa",0.125,17.09,299.96
"485","Carex depauperata",0.45,NA,NA
"486","Carex diandra",0.4,13.9,NA
