species,LDMC,SLA,growthform,life_history,clonal_strategy,lat_spread,leaf_distr
Puccinellia.dolicholepis,,,grass,perennial,phalanx,tussock,leafystem
Ranunculus.pedatus,,,forb,perennial,none,sgl_shoot,(semi)rosette
Ranunculus.polyrhizus,,,forb,perennial,none,sgl_shoot,(semi)rosette
Rindera.tetraspis,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Rorippa.brachycarpa,169.4,25.6,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Rumex.sp,,,forb,ann/biennial,,,
Salsola.foliosa,,,forb,ann/biennial,none,sev_stems,leafystem
Salsola.orientalis,,,dwarfshrub,perennial,none,sev_stems,leafystem
Salsola.sp,,,,,,,
Salsola.tamariscina,,,forb,ann/biennial,none,sgl_shoot,leafystem
Scorzonera.austriaca,218.6,12.5,forb,perennial,phalanx,sev_stems,(semi)rosette
Scorzonera.ensifolia,,,forb,perennial,none,sgl_shoot,(semi)rosette
Scorzonera.stricta,209.5,15.6,forb,perennial,none,sgl_shoot,(semi)rosette
Senecio.dubitabilis,115.9,27.1,forb,ann/biennial,none,sgl_shoot,leafystem
Senecio.jacobaea,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Serratula.cardunculus,209.5,21.8,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Serratula.dissecta,235.4,11.2,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Silene.chlorantha,,,forb,perennial,none,sgl_shoot,(semi)rosette
Silene.viscosa,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Silene.wolgensis,295.9,11.2,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Sisymbrium.polymorphum,331.3,13.2,forb,perennial,none,sgl_shoot,leafystem
Spergularia.segetalis,,,forb,ann/biennial,none,sgl_shoot,leafystem
Spiraea.crenata,466,12.3,dwarfshrub,perennial,phalanx,sev_stems,leafystem
Spiraea.hypericifolia,553.3,12.4,dwarfshrub,perennial,phalanx,sev_stems,leafystem
Stellaria.graminea,,,forb,perennial,guerilla,sgl_shoot,leafystem
Stipa.capillata,563,6.2,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.lessingiana,522.7,8.4,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.pennata,574,9.1,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.sareptana,552.7,6.6,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.zalesskii,564.5,5.2,grass,perennial,phalanx,tussock,(semi)rosette
Syrenia.siliculosa,272.3,7.1,forb,ann/biennial,none,sgl_shoot,leafystem
Takhtajaniantha.pusilla,,,forb,perennial,none,sgl_shoot,leafystem
Tanacetum.achilleifolium,311.9,11.7,forb,perennial,phalanx,tussock,(semi)rosette
Taraxacum.glaucanthum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Taraxacum.sp,,,forb,perennial,none,sgl_shoot,(semi)rosette
Tauscheria.lasiocarpa,,,forb,ann/biennial,none,sgl_shoot,leafystem
Thymus.marschallianus,282.1,21.9,forb,perennial,phalanx,sev_stems,leafystem
Tulipa.biflora,,,forb,perennial,none,sgl_shoot,(semi)rosette
Tulipa.gesneriana,145,14,forb,perennial,none,sgl_shoot,leafystem
Tulipa.patens,,,forb,perennial,none,sgl_shoot,(semi)rosette
Valeriana.tuberosa,,,forb,perennial,none,sgl_shoot,(semi)rosette
Verbascum.phoenicium,220.6,12.9,forb,perennial,none,sgl_shoot,(semi)rosette
Veronica.hispidula,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Veronica.prostrata,,,forb,perennial,phalanx,sev_stems,leafystem
Veronica.sp,,,forb,,,,
Veronica.spicata,318.6,10.9,forb,perennial,phalanx,sev_stems,leafystem
