OBJECTID,Name,Category,Status1990,Status2015,MapDate,Comments,Example,Image_type,Image_date,CattleShed,Ncells_Grassl450m,MeanGrasslCov,Ncells_FireFreq,MeanFireFreq,Lon,Lat,Ncells_BA90,BA_proportion_1990,Ncells_BA2000,BA_proportion_2000,Ncells_BA2015,BA_proportion_2015,Shape_Length,Shape_Area
27,Eskibaidos,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,248,0.684784941,246,0.979674797,62.90009689,49.81653214,248,0,248,0.007455197,248,0.014641577,0.290872603,0.006277181
28,Suteke,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,250,0.984408888,244,0.995901639,62.99136734,49.67763138,245,0,245,0.001396825,245,0.412553288,0.290329446,0.006259434
29,Baidas,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,247,0.895168683,246,1.524390244,62.93204117,49.884552,250,0,250,0.009066667,250,0,0.291140234,0.006285922
30,Zhailau,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,248,0.847347661,246,1.711382114,62.94715881,49.90175247,247,0,247,5.39811E-05,247,0,0.29120809,0.006288138
31,Karasai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.739786675,245,0,63.34040451,49.82507324,247,0.008079172,247,0,247,0.251605939,0.290906133,0.006278276
32,Zharsor,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,243,0.911915862,248,0.693548387,63.23249054,49.82829285,244,0,244,0,244,0.833861567,0.290918775,0.006278689
33,Mobe,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.910501772,246,0.150406504,63.28972626,49.90621567,248,0,248,0.001971326,248,0.744551973,0.291225689,0.006288713
34,Kolkuduk,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.881155554,249,0.008032129,63.29845047,49.93127823,249,0,249,0.011976796,249,0.792663992,0.291324698,0.006291946
35,Zhamankol,Zimovka,100,50,1986,partly in use,0,bing,2016/2017,0,245,0.86508844,249,0.036144578,63.27645111,49.95806885,243,0,243,0.015363512,243,0.827581164,0.291430708,0.006295407
36,Kolkuduk,Zimovka,100,100,1986,clearly in use,0,bing,2016/2017,0,249,0.917322643,247,0.020242915,63.225811,49.93669128,247,0,247,0.006873594,247,0.646981558,0.29134611,0.006292645
37,Suinbekkystau,Zimovka,100,100,1986,clearly in use,0,bing,2016/2017,0,244,0.922094742,247,0,63.38991547,49.91266632,249,0,249,0,249,0.35610888,0.291251158,0.006289544
38,Ortakol,Zimovka,100,70,1986,"google, clearly in use",0,bing,2016/2017,0,244,0.882732243,246,0.004065041,63.36555481,49.96223831,248,0,248,8.96057E-05,248,0.418960574,0.291447222,0.006295946
39,Tulyugen,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.906414733,248,0.040322581,63.31571198,49.98036957,249,0,249,0.004908523,249,0.776653281,0.291519081,0.006298292
40,Kudar,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.818670231,250,0.052,63.25725174,49.98954773,247,0,247,0.003040936,247,0.826306793,0.291555492,0.00629948
41,Ortakum,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.896621493,249,0,63.37813568,49.97230911,248,0,248,0,248,0.331075269,0.291487135,0.006297249
42,Pochta,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.999271112,246,0.12195122,63.4239006,49.70569992,250,0,250,0.013653333,250,0.071253334,0.290438832,0.006263009
43,Kumkuduk,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.924714349,244,0,63.40148544,49.82261658,247,0.010112461,247,0.006819613,247,0.028843905,0.290896481,0.006277961
44,Karakuduk,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.862869995,246,0,63.41514206,49.85942841,246,0,246,0.006847335,246,0.006431798,0.291041236,0.006282689
45,Karabai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.918286479,246,0.004065041,63.50119019,49.98077774,246,0,246,0,246,0.082258356,0.291520693,0.006298344
46,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.884730048,246,0.008130081,63.59259033,49.99868774,254,0,254,0.00575678,254,0.016815398,0.291591755,0.006300664
47,Karakuduk,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.89245165,249,0.060240964,63.61587906,49.94941711,247,0,247,0.001889339,247,0.037624832,0.291396454,0.006294288
48,Birinshi Mai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.904364122,243,0.115226337,63.53507233,49.91828156,245,0,245,0.000761905,245,0.370104309,0.291273326,0.006290268
49,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.882766633,248,0.141129032,63.6350975,49.9095726,250,0,250,0,250,0.268568889,0.291238921,0.006289145
50,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,252,0.835291026,246,0.036585366,63.66252136,49.92578125,249,0,249,0,249,0.044515841,0.291302955,0.006291236
