Plot,cluster7,Strata,Litter_m2,BM_yield_m2,cov_herb,cov_litter,cov_soil,latitude,longitude,fire_freq_MODIS,rec_fire_field_obs,fire_freq_check,lastfire_MODIS,lastfire_check,timesincefire_check,dung_livestock,dung_horse,dung_cattl,dung_sheepgoat,n_souslik_burrows,CWMheight,LF_530,LF_3060,pH_530,Sand_530,dist_settl_km
UN22,5,UN,,93.52,35,3,60,50.78062797,64.98154739,0,0,0,0,0,17,28,2,6,20,4,14.82894737,53.2,46.6,8.68,12.8,5.569
UN23,1,UN,,105.76,10,1,90,50.6198028,65.03153639,0,1,1,0,2014,2,0,0,0,0,4,17.47727273,224,538,8.07,10.8,15.651
UN24,3,UN,,91.88,35,4,65,50.62733872,64.97222839,0,0,0,0,0,17,0,0,0,0,3,17.67567568,48,641,7.12,15.2,12.148
UN25,1,UN,,65.64,55,35,30,50.78456705,64.97454967,0,0,0,0,0,17,7,5,1,1,3,35.6059322,10.7,9.3,6.88,11.8,5.026
UN26,2,UN,,137.78,35,2,65,50.63345114,65.08416695,0,0,0,0,0,17,0,0,0,0,0,20.88571429,291,3260,8.58,20.6,15.739
UN28,4,UN,24,,45,2,55,50.67419037,65.07951985,0,1,1,0,2014,2,0,0,0,0,1,22.47,46.3,267,8.46,10.8,11.195
UN30,1,UN,33.3,106.94,25,15,70,50.64859221,64.94911739,0,1,1,0,2008,8,2,2,0,0,0,26.29310345,232,1785,8.84,9,9.281
UN31,1,UN,28.68,89.78,40,10,55,50.50959494,65.23596908,0,1,1,0,2014,2,0,0,0,0,0,31.05357143,122.4,640,8.51,7.4,29.157
UN32,2,UN,,65.02,35,2,65,50.67573013,64.83566296,0,0,0,0,0,17,5,3,2,0,0,14.76785714,523,421,9.55,21.8,4.568
UN33,1,UN,,94.76,80,20,10,50.58427191,64.8632696,0,0,0,0,0,17,9,3,4,2,1,77.03125,11.3,42.4,7.16,24.8,4.679
UN34,1,UN,41.52,142.4,70,5,25,50.68500378,65.23831023,0,0,0,0,0,17,1,1,0,0,0,22.65333333,410,1555,6.58,1.4,15.543
UN35,2,UN,,95.98,45,3,55,50.66524303,64.91934814,0,0,0,0,0,17,0,0,0,0,0,22.625,253,745,5.6,17.9,6.53
UN36,1,UN,,85.34,25,2,75,50.61422138,64.80645111,0,0,0,0,0,17,15,2,13,0,3,22.42592593,82.7,223,9.28,21.1,6.098
UN40,2,UN,,74.52,45,4,50,50.61507088,64.99812872,0,0,0,0,0,17,0,0,0,0,5,24.95488323,809,1280,5.31,14.4,14.367
UN41,1,UN,,119.6,40,2,58,50.64791185,65.09051322,0,0,0,0,0,17,0,0,0,0,2,14.76875,1124,2210,6.58,10.9,14.178
UN42,1,UN,,157.9,35,2,65,50.64768042,65.13342588,0,0,0,0,0,17,0,0,0,0,3,16.9375,100.3,380,8.69,11.4,14.844
